Tahun,Periode,Nama Barang,Kecamatan,Harga
2025,18 Agu 2025 - 24 Agu 2025,Beras Premium Cap Mangkok,KAPUAS,18000
2025,18 Agu 2025 - 24 Agu 2025,Beras Premium Cap Rambutan,KAPUAS,18000
2025,18 Agu 2025 - 24 Agu 2025,Beras Premium Cap Mangga,KAPUAS,18000
2025,18 Agu 2025 - 24 Agu 2025,Beras Cap Premium Lainnya,KAPUAS,18000
2025,18 Agu 2025 - 24 Agu 2025,Beras Medium Cap AAA,KAPUAS,17000
2025,18 Agu 2025 - 24 Agu 2025,Beras Premium Cap Fortune,KAPUAS,17000
2025,18 Agu 2025 - 24 Agu 2025,Beras Medium Cap Ramos,KAPUAS,17000
2025,18 Agu 2025 - 24 Agu 2025,Beras Cap medium Lainnya,KAPUAS,17500
